# TI's operand text per instruction, and the template derived from it by
# probing each operand independently. `{N}` is our operand N, and
# `{N:@AH|AL}` the registers TI marks with `@` when N is register-direct.
#
# Regenerate: nix develop -c python3 scripts/probe_operands.py
#
# name	mnemonic	template	probed_text
MOV32_RAH_RBH	MOV32	{0}, {1}, {2}	R1H, R1H, EQ
MOV32_STF_MEM32	MOV32	STF, {0}	STF, @0x1
MOVAD_T_LOC16	MOVAD	T, {0:@T}	T, @0x1
MOVA_T_LOC16	MOVA	T, {0}	T, @0x1
MOVB_ACC_CONST8	MOVB	ACC, {0:d}	ACC, #1
MOVB_AR6_CONST8	MOVB	AR6, {0}	AR6, #0x1
MOVB_AR7_CONST8	MOVB	AR7, {0}	AR7, #0x1
MOVB_AXLSB_LOC16	MOVB	{0}, {1}	AL.LSB, @0x1
MOVB_AXMSB_LOC16	MOVB	{0}, {1}	AL.MSB, @0x1
MOVB_AX_CONST8	MOVB	{0}, {1}	AL, #0x1
MOVB_LOC16_AXLSB	MOVB	{0}, {1}	@0x1, AL.LSB
MOVB_LOC16_AXMSB	MOVB	{0}, {1}	@0x1, AL.MSB
MOVB_LOC16_CONST8_COND	MOVB	{0}, {1}, {2}	@0x1, #0x01, EQ
MOVB_XAR0_CONST8	MOVB	XAR0, {0}	XAR0, #0x1
MOVB_XAR1_CONST8	MOVB	XAR1, {0}	XAR1, #0x1
MOVB_XAR2_CONST8	MOVB	XAR2, {0}	XAR2, #0x1
MOVB_XAR3_CONST8	MOVB	XAR3, {0}	XAR3, #0x1
MOVB_XAR4_CONST8	MOVB	XAR4, {0}	XAR4, #0x1
MOVB_XAR5_CONST8	MOVB	XAR5, {0}	XAR5, #0x1
MOVB_XAR6_CONST8	MOVB	XAR6, {0}	XAR6, #0x01
MOVB_XAR7_CONST8	MOVB	XAR7, {0}	XAR7, #0x01
MOVDL_XT_LOC32	MOVDL	XT, {0}	XT, @0x1
MOVH_LOC16_ACC_SHIFT1	MOVH	{0}, ACC << 1	@0x1, ACC << 1
MOVH_LOC16_ACC_SHIFT2_8_OBJMODE_1	MOVH	{0}, ACC << {1:b}	@0x1, ACC << 2
MOVH_LOC16_P	MOVH	{0}, P	@0x1, P
MOVIZ	MOVIZ	{0}, {1}	R1, #0x1
MOVL_ACC_LOC32	MOVL	ACC, {0}	ACC, @0x1
MOVL_LOC32_ACC	MOVL	{0}, ACC	@0x1, ACC
MOVL_LOC32_ACC_COND	MOVL	{0}, ACC, {1}	@0x1, ACC, EQ
MOVL_LOC32_P	MOVL	{0}, P	@0x1, P
MOVL_LOC32_XAR0	MOVL	{0}, XAR0	@0x1, XAR0
MOVL_LOC32_XAR1	MOVL	{0}, XAR1	@0x1, XAR1
MOVL_LOC32_XAR2	MOVL	{0}, XAR2	@0x1, XAR2
MOVL_LOC32_XAR3	MOVL	{0}, XAR3	@0x1, XAR3
MOVL_LOC32_XAR4	MOVL	{0}, XAR4	@0x1, XAR4
MOVL_LOC32_XAR5	MOVL	{0}, XAR5	@0x1, XAR5
MOVL_LOC32_XAR6	MOVL	{0}, XAR6	@0x1, XAR6
MOVL_LOC32_XAR7	MOVL	{0}, XAR7	@0x1, XAR7
MOVL_LOC32_XT	MOVL	{0}, XT	@0x1, XT
MOVL_P_ACC	MOVL	P, ACC	P, ACC
MOVL_P_LOC32	MOVL	P, {0}	P, @0x1
MOVL_XAR0_CONST22	MOVL	XAR0, {0}	XAR0, #0x000001
MOVL_XAR0_LOC32	MOVL	XAR0, {0}	XAR0, @0x1
